#DB,#Model,#Mment,#Shots,#Temp,#Deviation
Transparent_FB.db,1,Probe 1,35,250.0,0.0245610819354289
Transparent_FB.db,1,Probe 1,36,250.0,0.0563592208179264
Transparent_FB.db,1,Probe 1,37,250.0,0.0074378189708899
Transparent_FB.db,1,Probe 1,38,250.0,0.047973086815096
Transparent_FB.db,1,Probe 1,39,250.0,0.0126419349967838
Transparent_FB.db,1,Probe 1,40,250.0,0.0076270646272615
Transparent_FB.db,1,Probe 1,41,300.0,0.0373214446821643
Transparent_FB.db,1,Probe 1,42,300.0,0.0373150590844957
Transparent_FB.db,1,Probe 1,43,300.0,0.0379111303616259
Transparent_FB.db,1,Probe 1,44,300.0,0.034350453739063
Transparent_FB.db,1,Probe 1,45,300.0,0.039087467063271
Transparent_FB.db,1,Probe 1,46,300.0,0.0305524596596846
Transparent_FB.db,1,Probe 1,47,300.0,0.0458871548260038
Transparent_FB.db,1,Probe 1,48,300.0,0.043365713595769
Transparent_FB.db,1,Probe 1,49,350.0,0.0532282208435022
Transparent_FB.db,1,Probe 1,50,350.0,0.0557998920603259
Transparent_FB.db,1,Probe 1,51,350.0,0.0549833817206506
Transparent_FB.db,1,Probe 1,52,350.0,0.0531059684808112
Transparent_FB.db,1,Probe 1,53,350.0,0.0506899058623253
Transparent_FB.db,1,Probe 1,54,350.0,0.0531199977416743
Transparent_FB.db,1,Probe 1,55,350.0,0.050673158932315
Transparent_FB.db,1,Probe 1,56,350.0,0.0531720030660014
Transparent_FB.db,1,Probe 1,57,400.0,0.0778023208332689
Transparent_FB.db,1,Probe 1,58,400.0,0.0767917035699579
Transparent_FB.db,1,Probe 1,59,400.0,0.073453118975898
Transparent_FB.db,1,Probe 1,60,400.0,0.0734836849286679
Transparent_FB.db,1,Probe 1,61,400.0,0.0733597572553674
Transparent_FB.db,1,Probe 1,62,400.0,0.0726922490474339
Transparent_FB.db,1,Probe 1,63,400.0,0.0733530050972499
Transparent_FB.db,1,Probe 1,64,450.0,0.1045052780872533
Transparent_FB.db,1,Probe 1,65,450.0,0.1050465442798409
Transparent_FB.db,1,Probe 1,66,450.0,0.105554814209257
Transparent_FB.db,1,Probe 1,67,450.0,0.1040812783178184
Transparent_FB.db,1,Probe 1,68,450.0,0.1046541717263933
Transparent_FB.db,1,Probe 1,69,50.0,0.013805416190441
Transparent_FB.db,1,Probe 1,70,50.0,0.0067285347919476
Transparent_FB.db,1,Probe 1,71,50.0,0.0081776126898573
Transparent_FB.db,1,Probe 1,72,50.0,0.0093048357127007
Transparent_FB.db,1,Probe 1,73,50.0,0.0089900146194836
Transparent_FB.db,1,Probe 1,74,50.0,0.0084081402626097
Transparent_FB.db,1,Probe 1,75,50.0,0.0087468458797905
Transparent_FB.db,1,Probe 1,76,50.0,0.0125759313625151
Transparent_FB.db,1,Probe 1,77,500.0,0.1462362655752469
Transparent_FB.db,1,Probe 1,78,500.0,0.1458817763041242
Transparent_FB.db,1,Probe 1,79,500.0,0.1466491248483223
Transparent_FB.db,1,Probe 1,80,500.0,0.1465725469685872
Transparent_FB.db,1,Probe 1,81,500.0,0.1462195831252293
Transparent_FB.db,1,Probe 1,82,550.0,0.2003888625771228
Transparent_FB.db,1,Probe 1,83,550.0,0.2007590969001786
Transparent_FB.db,1,Probe 1,84,550.0,0.2009710638855586
Transparent_FB.db,1,Probe 1,85,550.0,0.2013227015256911
Transparent_FB.db,1,Probe 1,86,550.0,0.2006160001346144
Transparent_FB.db,1,Probe 1,87,600.0,0.3114321024004913
Transparent_FB.db,1,Probe 1,88,600.0,0.3212726293782686
Transparent_FB.db,1,Probe 1,89,600.0,0.3208775840902171
